themes,Gruvbox,Default,Andromeda,One Monokai,Github,Plastic,Atom One Dark,One Dark Pro,Dracula Official,Ayu,Tokyo Night,Palenight,Learn with Sumit,Shades of Purple,Night Owl
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
average_ccts,5686,6515,8517,8659,8920,9218,9609,9609,10560,11986,14447,16619,23913,124575,124592
average_ccts_without_background,2158,2987,2244,2581,3469,3429,3531,3531,3013,2968,5013,4544,2609,3617,4252
background_ccts,6503,6503,9800,9566,8812,9219,9566,9566,11329,13096,13595,16766,27849,147514,146772
