themes,Gruvbox,Tiny Light,Monokai Pro,Ayu,Visual Studio C/C++,Netbeans Light,Github,Material,Community Material,Learn with Sumit,Default,Tokyo Night,Night Owl,Winter is Coming,Atom One Light
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
average_ccts,4678,5260,5937,6864,6872,6903,7450,7518,7762,8165,8363,8786,10224,10862,26553
average_ccts_without_background,2376,2356,2409,3274,3344,3375,3922,3990,4234,4637,4835,5025,6696,7334,23025
background_ccts,5032,5754,6503,6578,6503,6503,6503,6503,6503,6503,6503,6783,6503,6503,6503
