themes,Visual Studio C/C++,Winter is Coming,Monokai Pro,Default,Nord,Tokyo Night,Gruvbox,Github
index,1,2,3,4,5,6,7,8
dark,6590,6833,6080,6368,10016,13968,5709,8692
light,6645,9889,5901,7847,6784,8228,4643,7110
